lane_id,distance_tier,date,day_of_week,is_weekend,is_holiday,is_peak_season,weather_risk_score,total_shipments,scanned_shipments,delayed_shipments,delay_rate,_shock_active_ground_truth
MEM-ATL,short,2023-12-24,6,1,0,1,0.1828,1581,1523,119,0.0781,0
MEM-ATL,short,2023-12-25,0,0,1,1,0.0106,791,772,49,0.0635,0
MEM-ATL,short,2023-12-26,1,0,0,1,0.1975,2374,2310,122,0.0528,0
MEM-ATL,short,2023-12-27,2,0,0,0,0.1108,1793,1761,66,0.0375,0
MEM-ATL,short,2023-12-28,3,0,0,0,0.3604,1978,1909,73,0.0382,0
MEM-ATL,short,2023-12-29,4,0,0,0,0.0651,1964,1910,84,0.044,0
MEM-ATL,short,2023-12-30,5,1,0,0,0.1834,932,917,38,0.0414,0
MEM-ATL,short,2023-12-31,6,1,0,0,0.0322,1009,994,50,0.0503,0
MEM-ATL,short,2024-01-01,0,0,1,0,0.0798,408,400,8,0.02,0
MEM-ATL,short,2024-01-02,1,0,0,0,0.1576,1897,1850,64,0.0346,0
MEM-ATL,short,2024-01-03,2,0,0,0,0.1466,1712,1652,57,0.0345,0
MEM-ATL,short,2024-01-04,3,0,0,0,0.0,1455,1414,44,0.0311,0
MEM-ATL,short,2024-01-05,4,0,0,0,0.2759,1668,1623,61,0.0376,0
MEM-ATL,short,2024-01-06,5,1,0,0,0.1623,995,963,39,0.0405,0
MEM-ATL,short,2024-01-07,6,1,0,0,0.0,898,881,31,0.0352,0
MEM-ATL,short,2024-01-08,0,0,0,0,0.2889,1843,1780,64,0.036,0
MEM-ATL,short,2024-01-09,1,0,0,0,0.1119,1452,1400,43,0.0307,0
MEM-ATL,short,2024-01-10,2,0,0,0,0.1221,1871,1841,55,0.0299,0
MEM-ATL,short,2024-01-11,3,0,0,0,0.1872,2030,1976,71,0.0359,0
MEM-ATL,short,2024-01-12,4,0,0,0,0.1754,1744,1708,63,0.0369,0
MEM-ATL,short,2024-01-13,5,1,0,0,0.1959,710,688,27,0.0392,0
MEM-ATL,short,2024-01-14,6,1,0,0,0.0645,973,953,39,0.0409,0
MEM-ATL,short,2024-01-15,0,0,0,0,0.1457,1762,1696,66,0.0389,0
MEM-ATL,short,2024-01-16,1,0,0,0,0.1161,1790,1739,59,0.0339,0
MEM-ATL,short,2024-01-17,2,0,0,0,0.2826,1590,1544,71,0.046,0
MEM-ATL,short,2024-01-18,3,0,0,0,0.1949,1783,1759,62,0.0352,0
MEM-ATL,short,2024-01-19,4,0,0,0,0.1137,1981,1924,63,0.0327,0
MEM-ATL,short,2024-01-20,5,1,0,0,0.1368,1065,1037,52,0.0501,0
MEM-ATL,short,2024-01-21,6,1,0,0,0.2304,941,914,43,0.047,0
MEM-ATL,short,2024-01-22,0,0,0,0,0.0899,1938,1872,63,0.0337,0
MEM-ATL,short,2024-01-23,1,0,0,0,0.1096,1630,1598,54,0.0338,0
MEM-ATL,short,2024-01-24,2,0,0,0,0.0,1818,1784,59,0.0331,0
MEM-ATL,short,2024-01-25,3,0,0,0,0.09,2003,1977,68,0.0344,0
MEM-ATL,short,2024-01-26,4,0,0,0,0.2467,1758,1698,61,0.0359,0
MEM-ATL,short,2024-01-27,5,1,0,0,0.0585,996,977,54,0.0553,0
MEM-ATL,short,2024-01-28,6,1,0,0,0.001,1095,1060,55,0.0519,0
MEM-ATL,short,2024-01-29,0,0,0,0,0.168,1994,1955,67,0.0343,0
MEM-ATL,short,2024-01-30,1,0,0,0,0.0952,1973,1906,71,0.0373,0
MEM-ATL,short,2024-01-31,2,0,0,0,0.3234,1804,1775,69,0.0389,0
MEM-ATL,short,2024-02-01,3,0,0,0,0.0405,1536,1511,56,0.0371,0
MEM-ATL,short,2024-02-02,4,0,0,0,0.1793,2180,2145,83,0.0387,0
MEM-ATL,short,2024-02-03,5,1,0,0,0.0,1031,997,45,0.0451,0
MEM-ATL,short,2024-02-04,6,1,0,0,0.2454,1001,972,39,0.0401,0
MEM-ATL,short,2024-02-05,0,0,0,0,0.299,2029,1980,80,0.0404,0
MEM-ATL,short,2024-02-06,1,0,0,0,0.2341,1699,1642,67,0.0408,0
MEM-ATL,short,2024-02-07,2,0,0,0,0.1174,1942,1894,63,0.0333,0
MEM-ATL,short,2024-02-08,3,0,0,0,0.1504,1704,1664,65,0.0391,0
MEM-ATL,short,2024-02-09,4,0,0,0,0.1382,2118,2084,58,0.0278,0
MEM-ATL,short,2024-02-10,5,1,0,0,0.3158,943,922,47,0.051,0
MEM-ATL,short,2024-02-11,6,1,0,0,0.1505,1033,1008,52,0.0516,0
MEM-ATL,short,2024-02-12,0,0,0,0,0.2328,1697,1672,61,0.0365,0
MEM-ATL,short,2024-02-13,1,0,0,0,0.2655,1945,1914,66,0.0345,0
MEM-ATL,short,2024-02-14,2,0,0,0,0.0,1585,1556,58,0.0373,0
MEM-ATL,short,2024-02-15,3,0,0,0,0.0,1487,1459,53,0.0363,0
MEM-ATL,short,2024-02-16,4,0,0,0,0.1678,1801,1766,52,0.0294,0
MEM-ATL,short,2024-02-17,5,1,0,0,0.2259,939,927,38,0.041,0
MEM-ATL,short,2024-02-18,6,1,0,0,0.1331,1069,1043,46,0.0441,0
MEM-ATL,short,2024-02-19,0,0,0,0,0.0388,1651,1622,56,0.0345,0
MEM-ATL,short,2024-02-20,1,0,0,0,0.1377,1832,1770,65,0.0367,0
MEM-ATL,short,2024-02-21,2,0,0,0,0.1857,1939,1885,60,0.0318,0
MEM-ATL,short,2024-02-22,3,0,0,0,0.0,1540,1516,51,0.0336,0
MEM-ATL,short,2024-02-23,4,0,0,0,0.3049,1920,1871,72,0.0385,0
MEM-ATL,short,2024-02-24,5,1,0,0,0.2179,1127,1108,55,0.0496,0
MEM-ATL,short,2024-02-25,6,1,0,0,0.2185,1009,992,38,0.0383,0
MEM-ATL,short,2024-02-26,0,0,0,0,0.0863,2079,2031,90,0.0443,0
MEM-ATL,short,2024-02-27,1,0,0,0,0.332,1873,1828,68,0.0372,0
MEM-ATL,short,2024-02-28,2,0,0,0,0.0921,2001,1940,75,0.0387,0
MEM-ATL,short,2024-02-29,3,0,0,0,0.1361,1815,1755,76,0.0433,0
MEM-ATL,short,2024-03-01,4,0,0,0,0.3239,2090,2043,88,0.0431,0
MEM-ATL,short,2024-03-02,5,1,0,0,0.3444,849,826,31,0.0375,0
MEM-ATL,short,2024-03-03,6,1,0,0,0.2455,889,878,47,0.0535,0
MEM-ATL,short,2024-03-04,0,0,0,0,0.2489,2247,2204,70,0.0318,0
MEM-ATL,short,2024-03-05,1,0,0,0,0.2515,1836,1769,41,0.0232,0
MEM-ATL,short,2024-03-06,2,0,0,0,0.0,1842,1782,50,0.0281,0
MEM-ATL,short,2024-03-07,3,0,0,0,0.2979,1816,1777,72,0.0405,0
MEM-ATL,short,2024-03-08,4,0,0,0,0.1985,1803,1767,52,0.0294,0
MEM-ATL,short,2024-03-09,5,1,0,0,0.0827,965,944,42,0.0445,0
MEM-ATL,short,2024-03-10,6,1,0,0,0.0,1005,989,46,0.0465,0
MEM-ATL,short,2024-03-11,0,0,0,0,0.1824,1771,1713,70,0.0409,0
MEM-ATL,short,2024-03-12,1,0,0,0,0.4272,1663,1641,60,0.0366,0
MEM-ATL,short,2024-03-13,2,0,0,0,0.2175,1906,1842,66,0.0358,0
MEM-ATL,short,2024-03-14,3,0,0,0,0.1049,1992,1921,59,0.0307,0
MEM-ATL,short,2024-03-15,4,0,0,0,0.0,1911,1872,66,0.0353,0
MEM-ATL,short,2024-03-16,5,1,0,0,0.2995,1197,1161,46,0.0396,0
MEM-ATL,short,2024-03-17,6,1,0,0,0.1849,1013,976,48,0.0492,0
MEM-ATL,short,2024-03-18,0,0,0,0,0.0,1761,1722,61,0.0354,0
MEM-ATL,short,2024-03-19,1,0,0,0,0.0694,1761,1712,58,0.0339,0
MEM-ATL,short,2024-03-20,2,0,0,0,0.2223,1946,1897,80,0.0422,0
MEM-ATL,short,2024-03-21,3,0,0,0,0.1255,1661,1638,55,0.0336,0
MEM-ATL,short,2024-03-22,4,0,0,0,0.1489,2050,2014,79,0.0392,0
MEM-ATL,short,2024-03-23,5,1,0,0,0.3141,1169,1152,53,0.046,0
MEM-ATL,short,2024-03-24,6,1,0,0,0.1239,1081,1053,48,0.0456,0
MEM-ATL,short,2024-03-25,0,0,0,0,0.2489,1720,1689,63,0.0373,0
MEM-ATL,short,2024-03-26,1,0,0,0,0.0458,1812,1767,52,0.0294,0
MEM-ATL,short,2024-03-27,2,0,0,0,0.0003,1357,1324,56,0.0423,0
MEM-ATL,short,2024-03-28,3,0,0,0,0.1327,2044,2016,61,0.0303,0
MEM-ATL,short,2024-03-29,4,0,0,0,0.3261,1795,1744,46,0.0264,0
MEM-ATL,short,2024-03-30,5,1,0,0,0.2656,987,951,47,0.0494,0
MEM-ATL,short,2024-03-31,6,1,0,0,0.0,1055,1030,43,0.0417,0
MEM-ATL,short,2024-04-01,0,0,0,0,0.3809,1690,1631,165,0.1012,1
MEM-ATL,short,2024-04-02,1,0,0,0,0.7875,1904,1855,266,0.1434,1
MEM-ATL,short,2024-04-03,2,0,0,0,0.7468,1839,1802,193,0.1071,1
MEM-ATL,short,2024-04-04,3,0,0,0,0.0175,1821,1763,63,0.0357,0
MEM-ATL,short,2024-04-05,4,0,0,0,0.1896,1888,1842,71,0.0385,0
MEM-ATL,short,2024-04-06,5,1,0,0,0.1659,1206,1187,62,0.0522,0
MEM-ATL,short,2024-04-07,6,1,0,0,0.1752,834,804,46,0.0572,0
MEM-ATL,short,2024-04-08,0,0,0,0,0.1296,1957,1909,53,0.0278,0
MEM-ATL,short,2024-04-09,1,0,0,0,0.0102,1968,1938,63,0.0325,0
MEM-ATL,short,2024-04-10,2,0,0,0,0.332,1782,1720,63,0.0366,0
MEM-ATL,short,2024-04-11,3,0,0,0,0.1216,1904,1864,58,0.0311,0
MEM-ATL,short,2024-04-12,4,0,0,0,0.0631,1470,1417,50,0.0353,0
MEM-ATL,short,2024-04-13,5,1,0,0,0.2426,966,934,39,0.0418,0
MEM-ATL,short,2024-04-14,6,1,0,0,0.0124,859,843,36,0.0427,0
MEM-ATL,short,2024-04-15,0,0,0,0,0.0,1815,1781,62,0.0348,0
MEM-ATL,short,2024-04-16,1,0,0,0,0.2735,1701,1637,56,0.0342,0
MEM-ATL,short,2024-04-17,2,0,0,0,0.0656,1886,1844,70,0.038,0
MEM-ATL,short,2024-04-18,3,0,0,0,0.0953,1555,1517,40,0.0264,0
MEM-ATL,short,2024-04-19,4,0,0,0,0.2043,1925,1882,61,0.0324,0
MEM-ATL,short,2024-04-20,5,1,0,0,0.313,907,889,49,0.0551,0
MEM-ATL,short,2024-04-21,6,1,0,0,0.1594,942,908,48,0.0529,0
MEM-ATL,short,2024-04-22,0,0,0,0,0.0588,1975,1942,61,0.0314,0
MEM-ATL,short,2024-04-23,1,0,0,0,0.3409,1565,1543,37,0.024,0
MEM-ATL,short,2024-04-24,2,0,0,0,0.148,1864,1804,77,0.0427,0
MEM-ATL,short,2024-04-25,3,0,0,0,0.1255,1780,1725,66,0.0383,0
MEM-ATL,short,2024-04-26,4,0,0,0,0.1357,1713,1667,59,0.0354,0
MEM-ATL,short,2024-04-27,5,1,0,0,0.2144,1181,1146,45,0.0393,0
MEM-ATL,short,2024-04-28,6,1,0,0,0.2402,901,869,38,0.0437,0
MEM-ATL,short,2024-04-29,0,0,0,0,0.1662,1533,1502,59,0.0393,0
MEM-ATL,short,2024-04-30,1,0,0,0,0.0629,1892,1867,62,0.0332,0
MEM-ATL,short,2024-05-01,2,0,0,0,0.0733,2002,1960,39,0.0199,0
MEM-ATL,short,2024-05-02,3,0,0,0,0.0858,1886,1827,59,0.0323,0
MEM-ATL,short,2024-05-03,4,0,0,0,0.0001,1916,1867,73,0.0391,0
MEM-ATL,short,2024-05-04,5,1,0,0,0.0146,952,923,38,0.0412,0
MEM-ATL,short,2024-05-05,6,1,0,0,0.273,1000,965,29,0.0301,0
MEM-ATL,short,2024-05-06,0,0,0,0,0.0285,1812,1748,79,0.0452,0
MEM-ATL,short,2024-05-07,1,0,0,0,0.2757,1501,1478,41,0.0277,0
MEM-ATL,short,2024-05-08,2,0,0,0,0.0371,1660,1615,43,0.0266,0
MEM-ATL,short,2024-05-09,3,0,0,0,0.088,1599,1565,43,0.0275,0
MEM-ATL,short,2024-05-10,4,0,0,0,0.1034,1924,1888,78,0.0413,0
MEM-ATL,short,2024-05-11,5,1,0,0,0.0808,963,933,47,0.0504,0
MEM-ATL,short,2024-05-12,6,1,0,0,0.0712,977,951,44,0.0463,0
MEM-ATL,short,2024-05-13,0,0,0,0,0.0263,2178,2143,74,0.0345,0
MEM-ATL,short,2024-05-14,1,0,0,0,0.004,1760,1728,62,0.0359,0
MEM-ATL,short,2024-05-15,2,0,0,0,0.0958,1663,1611,45,0.0279,0
MEM-ATL,short,2024-05-16,3,0,0,0,0.0,1887,1838,59,0.0321,0
MEM-ATL,short,2024-05-17,4,0,0,0,0.2325,1652,1612,72,0.0447,0
MEM-ATL,short,2024-05-18,5,1,0,0,0.0,1002,989,51,0.0516,0
MEM-ATL,short,2024-05-19,6,1,0,0,0.0824,992,975,51,0.0523,0
MEM-ATL,short,2024-05-20,0,0,0,0,0.1548,1946,1880,70,0.0372,0
MEM-ATL,short,2024-05-21,1,0,0,0,0.2297,1651,1589,43,0.0271,0
MEM-ATL,short,2024-05-22,2,0,0,0,0.0444,1781,1745,60,0.0344,0
MEM-ATL,short,2024-05-23,3,0,0,0,0.2397,1939,1902,67,0.0352,0
MEM-ATL,short,2024-05-24,4,0,0,0,0.1764,1835,1793,68,0.0379,0
MEM-ATL,short,2024-05-25,5,1,0,0,0.2555,957,925,34,0.0368,0
MEM-ATL,short,2024-05-26,6,1,0,0,0.1039,948,929,40,0.0431,0
MEM-ATL,short,2024-05-27,0,0,0,0,0.207,1811,1762,51,0.0289,0
MEM-ATL,short,2024-05-28,1,0,0,0,0.2287,1489,1454,43,0.0296,0
MEM-ATL,short,2024-05-29,2,0,0,0,0.1249,1966,1897,57,0.03,0
MEM-ATL,short,2024-05-30,3,0,0,0,0.0761,1617,1573,70,0.0445,0
MEM-ATL,short,2024-05-31,4,0,0,0,0.321,1978,1942,65,0.0335,0
MEM-ATL,short,2024-06-01,5,1,0,0,0.0,1040,1010,44,0.0436,0
MEM-ATL,short,2024-06-02,6,1,0,0,0.118,836,821,31,0.0378,0
MEM-ATL,short,2024-06-03,0,0,0,0,0.0835,1539,1512,64,0.0423,0
MEM-ATL,short,2024-06-04,1,0,0,0,0.0936,1643,1585,47,0.0297,0
MEM-ATL,short,2024-06-05,2,0,0,0,0.0761,1392,1355,43,0.0317,0
MEM-ATL,short,2024-06-06,3,0,0,0,0.0,1782,1739,50,0.0288,0
MEM-ATL,short,2024-06-07,4,0,0,0,0.2539,1809,1778,62,0.0349,0
MEM-ATL,short,2024-06-08,5,1,0,0,0.0,1189,1149,52,0.0453,0
MEM-ATL,short,2024-06-09,6,1,0,0,0.0,879,862,42,0.0487,0
MEM-ATL,short,2024-06-10,0,0,0,0,0.0455,1727,1685,65,0.0386,0
MEM-ATL,short,2024-06-11,1,0,0,0,0.1758,1650,1595,55,0.0345,0
MEM-ATL,short,2024-06-12,2,0,0,0,0.1697,1767,1723,62,0.036,0
MEM-ATL,short,2024-06-13,3,0,0,0,0.1786,1940,1909,73,0.0382,0
MEM-ATL,short,2024-06-14,4,0,0,0,0.1626,1764,1715,62,0.0362,0
MEM-ATL,short,2024-06-15,5,1,0,0,0.339,928,906,42,0.0464,0
MEM-ATL,short,2024-06-16,6,1,0,0,0.0557,946,934,37,0.0396,0
MEM-ATL,short,2024-06-17,0,0,0,0,0.1969,1579,1522,47,0.0309,0
MEM-ATL,short,2024-06-18,1,0,0,0,0.1865,1954,1899,80,0.0421,0
MEM-ATL,short,2024-06-19,2,0,0,0,0.2021,1548,1523,50,0.0328,0
MEM-ATL,short,2024-06-20,3,0,0,0,0.2927,1481,1450,42,0.029,0
MEM-ATL,short,2024-06-21,4,0,0,0,0.1691,1847,1801,60,0.0333,0
MEM-ATL,short,2024-06-22,5,1,0,0,0.0552,1076,1056,38,0.036,0
MEM-ATL,short,2024-06-23,6,1,0,0,0.0926,1078,1038,48,0.0462,0
MEM-ATL,short,2024-06-24,0,0,0,0,0.2384,1646,1597,52,0.0326,0
MEM-ATL,short,2024-06-25,1,0,0,0,0.2292,1841,1785,70,0.0392,0
MEM-ATL,short,2024-06-26,2,0,0,0,0.2098,2029,1958,77,0.0393,0
MEM-ATL,short,2024-06-27,3,0,0,0,0.4929,1965,1904,59,0.031,0
MEM-ATL,short,2024-06-28,4,0,0,0,0.0777,1674,1623,54,0.0333,0
MEM-ATL,short,2024-06-29,5,1,0,0,0.2657,983,970,60,0.0619,0
MEM-ATL,short,2024-06-30,6,1,0,0,0.0,798,783,33,0.0421,0
